Entidad_federativa,Grupo_quinquenal_de_edad,Total,Hombres,Mujeres
Oaxaca,45 a 49 años,139877,65800,74077
Oaxaca,50 a 54 años,116999,55337,61662
Oaxaca,55 a 59 años,96806,45487,51319
Oaxaca,60 a 64 años,89096,42185,46911
Oaxaca,65 a 69 años,68801,32165,36636
Oaxaca,70 a 74 años,52015,25100,26915
Oaxaca,75 a 79 años,36889,17946,18943
Oaxaca,80 a 84 años,22243,10161,12082
Oaxaca,85 a 89 años,12144,5476,6668
Oaxaca,90 a 94 años,5243,2301,2942
Oaxaca,95 a 99 años,2871,1176,1695
Oaxaca,100 años y más,1013,421,592
Oaxaca,No especificado,23669,11582,12087
Puebla,Total,5076686,2448801,2627885
Puebla,0 a 4 años,578641,293332,285309
Puebla,5 a 9 años,623917,314710,309207
Puebla,10 a 14 años,600452,303571,296881
Puebla,15 a 19 años,532196,258724,273472
Puebla,20 a 24 años,460965,214250,246715
Puebla,25 a 29 años,384326,178237,206089
Puebla,30 a 34 años,332646,153434,179212
Puebla,35 a 39 años,297693,138467,159226
Puebla,40 a 44 años,243578,114420,129158
Puebla,45 a 49 años,197500,92631,104869
Puebla,50 a 54 años,162662,76667,85995
Puebla,55 a 59 años,127639,59810,67829
Puebla,60 a 64 años,111996,51913,60083
Puebla,65 a 69 años,89492,40477,49015
Puebla,70 a 74 años,67351,31233,36118
Puebla,75 a 79 años,48685,22735,25950
Puebla,80 a 84 años,27369,12137,15232
Puebla,85 a 89 años,16421,6957,9464
Puebla,90 a 94 años,7044,2835,4209
Puebla,95 a 99 años,4142,1559,2583
Puebla,100 años y más,1288,421,867
Puebla,No especificado,160683,80281,80402
Querétaro,Total,1404306,680966,723340
Querétaro,0 a 4 años,163581,83110,80471
Querétaro,5 a 9 años,174551,87912,86639
Querétaro,10 a 14 años,164074,82482,81592
Querétaro,15 a 19 años,152906,73825,79081
Querétaro,20 a 24 años,136899,63403,73496
Querétaro,25 a 29 años,119099,55547,63552
Querétaro,30 a 34 años,103722,48193,55529
Querétaro,35 a 39 años,90271,43023,47248
Querétaro,40 a 44 años,72087,34784,37303
Querétaro,45 a 49 años,53778,26143,27635
Querétaro,50 a 54 años,41725,20337,21388
Querétaro,55 a 59 años,31402,15160,16242
Querétaro,60 a 64 años,25807,12175,13632
Querétaro,65 a 69 años,19724,9247,10477
Querétaro,70 a 74 años,15069,7071,7998
Querétaro,75 a 79 años,10678,5062,5616
Querétaro,80 a 84 años,5795,2522,3273
Querétaro,85 a 89 años,3719,1523,2196
Querétaro,90 a 94 años,1683,660,1023
Querétaro,95 a 99 años,868,351,517
Querétaro,100 años y más,231,93,138
Querétaro,No especificado,16637,8343,8294
Quintana Roo,Total,874963,448308,426655
Quintana Roo,0 a 4 años,105575,54075,51500
Quintana Roo,5 a 9 años,105081,53180,51901
Quintana Roo,10 a 14 años,90648,46119,44529
Quintana Roo,15 a 19 años,88870,45249,43621
Quintana Roo,20 a 24 años,94752,47989,46763
Quintana Roo,25 a 29 años,90750,45804,44946
Quintana Roo,30 a 34 años,77734,39932,37802
Quintana Roo,35 a 39 años,61416,31674,29742
Quintana Roo,40 a 44 años,43641,22769,20872
Quintana Roo,45 a 49 años,31473,16553,14920
Quintana Roo,50 a 54 años,23169,12359,10810
Quintana Roo,55 a 59 años,15498,8164,7334
Quintana Roo,60 a 64 años,11995,6274,5721
Quintana Roo,65 a 69 años,7861,4015,3846
Quintana Roo,70 a 74 años,5226,2819,2407
Quintana Roo,75 a 79 años,3641,2027,1614
Quintana Roo,80 a 84 años,1984,1076,908
Quintana Roo,85 a 89 años,1006,537,469
Quintana Roo,90 a 94 años,361,188,173
Quintana Roo,95 a 99 años,227,136,91
Quintana Roo,100 años y más,109,63,46
Quintana Roo,No especificado,13946,7306,6640
San Luis Potosí,Total,2299360,1120837,1178523
San Luis Potosí,0 a 4 años,268764,135872,132892
San Luis Potosí,5 a 9 años,290504,147015,143489
San Luis Potosí,10 a 14 años,277667,140526,137141
San Luis Potosí,15 a 19 años,241303,117718,123585
San Luis Potosí,20 a 24 años,198991,92557,106434
San Luis Potosí,25 a 29 años,173542,80316,93226
San Luis Potosí,30 a 34 años,155396,72232,83164
San Luis Potosí,35 a 39 años,139428,65768,73660
San Luis Potosí,40 a 44 años,115022,55132,59890
San Luis Potosí,45 a 49 años,91334,44117,47217
San Luis Potosí,50 a 54 años,78078,37879,40199
San Luis Potosí,55 a 59 años,62406,30541,31865
San Luis Potosí,60 a 64 años,57657,27835,29822
San Luis Potosí,65 a 69 años,44101,21643,22458
San Luis Potosí,70 a 74 años,34381,17027,17354
San Luis Potosí,75 a 79 años,24001,12027,11974
San Luis Potosí,80 a 84 años,12141,5860,6281
San Luis Potosí,85 a 89 años,8117,3726,4391
San Luis Potosí,90 a 94 años,3908,1718,2190
San Luis Potosí,95 a 99 años,1982,855,1127
San Luis Potosí,100 años y más,580,227,353
San Luis Potosí,No especificado,20057,10246,9811
Sinaloa,Total,2536844,1264143,1272701
Sinaloa,0 a 4 años,280226,142796,137430
Sinaloa,5 a 9 años,293365,148806,144559
Sinaloa,10 a 14 años,282780,144221,138559
Sinaloa,15 a 19 años,267418,134696,132722
Sinaloa,20 a 24 años,240944,118951,121993
Sinaloa,25 a 29 años,211879,102847,109032
Sinaloa,30 a 34 años,182741,88252,94489
Sinaloa,35 a 39 años,165228,79430,85798
Sinaloa,40 a 44 años,140257,68165,72092
Sinaloa,45 a 49 años,108884,53727,55157
Sinaloa,50 a 54 años,91022,45766,45256
Sinaloa,55 a 59 años,72198,36751,35447
