City (User location),Leads,Purhchases,Qualified Lead_All conv.,Unqualified Lead_All conv.,Cost,Purchase Value,CPL,CPA,leads 2 purchase,
Hisar,5,1,0,0,1691.01,7000,338.202,1691.01,20.00%,
Kottayam,5,1,2,0,2440.31,12500,488.062,2440.31,20.00%,
Kanpur,22,4,6,1,8628,251000,392,2157,18.18%,
Mira Bhayandar,11,2,1,0,8430,32000,766,4215,18.18%,
Thane,41,5,9,2,19131,121500,467,3826,12.20%,
Pimpri-Chinchwad,36,4,3,2,16862,59000,468,4215,11.11%,
Madurai,12,1,0,1,3257,12750,271,3257,8.33%,
Udaipur,12,1,2,0,4031,14000,336,4031,8.33%,
Hyderabad,199,14,27,19,147653,433681,742,10547,7.04%,
Faridabad,30,2,7,4,22099,26500,737,11050,6.67%,
Mysuru,15,1,2,0,6478,15000,432,6478,6.67%,
Ghaziabad,61,4,5,4,39749,77500,652,9937,6.56%,
Patna,85,1,5,16,37505.32,1600,441.239058823529,37505.32,1.18%,
Noida,109,7,17,6,75735,182000,695,10819,6.42%,
Gurgaon,157,10,25,7,97057,267900,618,9706,6.37%,
Navi Mumbai,48,3,5,4,28655,151000,597,9552,6.25%,
Ludhiana,34,2,1,9,12828,547000,377,6414,5.88%,
Bengaluru,343,19,51,20,298831,899499,871,15728,5.54%,
Chennai,120,6,16,7,131316,112300,1094,21886,5.00%,
Chandigarh,21,1,4,1,11170,13000,532,11170,4.76%,
Mumbai,233,11,35,9,241191,470650,1035,21926,4.72%,
Kolkata,65,3,9,3,55129,80500,848,18376,4.62%,
Pune,169,7,28,9,155483,175425,920,22212,4.14%,
New Delhi,415,17,60,19,315382,806650,760,18552,4.10%,
Coimbatore,25,1,6,3,15694,25000,628,15694,4.00%,
Karnal,25,1,1,0,1914,30000,77,1914,4.00%,
Bhopal,27,1,4,2,11761,72000,436,11761,3.70%,
Bhubaneswar,31,1,4,8,16232,26000,524,16232,3.23%,
Varanasi,18,2,2,3,4609.01,14000,256.056111111111,2304.505,11.11%,
Ahmedabad,100,3,17,6,73536,159240,735,24512,3.00%,
Delhi,82,2,7,6,73042,65000,891,36521,2.44%,
Lucknow,108,2,14,10,45338,27000,420,22669,1.85%,
Indore,76,1,7,5,36416,15000,479,36416,1.32%,
Jalgaon,7,1,2,0,1615.34,6500,230.762857142857,1615.34,14.29%,
Jaipur,101,1,12,5,44186,12500,437,44186,0.99%,
Agartala,2,0,0,0,1216.24,0,608.12,,0.00%,
Agra,29,0,5,5,18179.9,0,626.893103448276,,0.00%,
Ahmednagar,2,0,1,0,1734.66,0,867.33,,0.00%,
Ajmer,4,0,1,0,1521.28,0,380.32,,0.00%,
Akola,2,0,0,1,1042.96,0,521.48,,0.00%,
Alappuzha,2,0,0,1,1677.5,0,838.75,,0.00%,
Aligarh,3,0,0,0,1169.88,0,389.96,,0.00%,
Alipurduar,1,0,0,1,168.87,0,168.87,,0.00%,
Alwar,6,0,0,1,2493.25,0,415.541666666667,,0.00%,
Ambala Cantt,3,0,0,0,826.37,0,275.456666666667,,0.00%,
Ambernath,1,0,0,0,827.03,0,827.03,,0.00%,
Amravati,3,0,0,2,1033.09,0,344.363333333333,,0.00%,
Amritsar,8,0,0,1,2852.69,0,356.58625,,0.00%,
Anand,5,0,0,1,1454.69,0,290.938,,0.00%,
Anjar,1,0,0,0,19.14,0,19.14,,0.00%,
Anjuna,1,0,0,0,235.52,0,235.52,,0.00%,
